Area|Sources of personal income|Ethnic group|Value|Flags
"Redoubt East"|"Not stated"|"Total people, ethnic group"|54|
"Mill Road"|"Total people, sources of personal income"|"Total people, ethnic group"|687|
"Mill Road"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|381|
"Mill Road"|"Self-employment or business"|"Total people, ethnic group"|168|
"Mill Road"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|150|
"Mill Road"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Mill Road"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|48|
"Mill Road"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|12|
"Mill Road"|"Unemployment benefit"|"Total people, ethnic group"|9|
"Mill Road"|"Sickness benefit"|"Total people, ethnic group"|18|
"Mill Road"|"Domestic purposes benefit"|"Total people, ethnic group"|6|
"Mill Road"|"Invalids benefit"|"Total people, ethnic group"|6|
"Mill Road"|"Student allowance"|"Total people, ethnic group"|12|
"Mill Road"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|15|
"Mill Road"|"Other sources of income"|"Total people, ethnic group"|9|
"Mill Road"|"No source of income during that time"|"Total people, ethnic group"|63|
"Mill Road"|"Total people stated"|"Total people, ethnic group"|654|
"Mill Road"|"Not stated"|"Total people, ethnic group"|30|
"Redoubt South"|"Total people, sources of personal income"|"Total people, ethnic group"|5157|
"Redoubt South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2844|
"Redoubt South"|"Self-employment or business"|"Total people, ethnic group"|606|
"Redoubt South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|627|
"Redoubt South"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Redoubt South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|405|
"Redoubt South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|63|
"Redoubt South"|"Unemployment benefit"|"Total people, ethnic group"|102|
"Redoubt South"|"Sickness benefit"|"Total people, ethnic group"|117|
"Redoubt South"|"Domestic purposes benefit"|"Total people, ethnic group"|90|
"Redoubt South"|"Invalids benefit"|"Total people, ethnic group"|45|
"Redoubt South"|"Student allowance"|"Total people, ethnic group"|135|
"Redoubt South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|180|
"Redoubt South"|"Other sources of income"|"Total people, ethnic group"|45|
"Redoubt South"|"No source of income during that time"|"Total people, ethnic group"|477|
"Redoubt South"|"Total people stated"|"Total people, ethnic group"|4509|
"Redoubt South"|"Not stated"|"Total people, ethnic group"|651|
"Takanini North"|"Total people, sources of personal income"|"Total people, ethnic group"|2637|
"Takanini North"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1227|
"Takanini North"|"Self-employment or business"|"Total people, ethnic group"|162|
"Takanini North"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|162|
"Takanini North"|"Payments from a work accident insurer"|"Total people, ethnic group"|27|
"Takanini North"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|189|
"Takanini North"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Takanini North"|"Unemployment benefit"|"Total people, ethnic group"|144|
"Takanini North"|"Sickness benefit"|"Total people, ethnic group"|135|
"Takanini North"|"Domestic purposes benefit"|"Total people, ethnic group"|183|
"Takanini North"|"Invalids benefit"|"Total people, ethnic group"|87|
"Takanini North"|"Student allowance"|"Total people, ethnic group"|66|
"Takanini North"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|102|
"Takanini North"|"Other sources of income"|"Total people, ethnic group"|21|
"Takanini North"|"No source of income during that time"|"Total people, ethnic group"|267|
"Takanini North"|"Total people stated"|"Total people, ethnic group"|2277|
"Takanini North"|"Not stated"|"Total people, ethnic group"|363|
"Takanini South"|"Total people, sources of personal income"|"Total people, ethnic group"|3465|
"Takanini South"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1791|
"Takanini South"|"Self-employment or business"|"Total people, ethnic group"|303|
"Takanini South"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|396|
"Takanini South"|"Payments from a work accident insurer"|"Total people, ethnic group"|27|
"Takanini South"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|432|
"Takanini South"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|66|
"Takanini South"|"Unemployment benefit"|"Total people, ethnic group"|129|
"Takanini South"|"Sickness benefit"|"Total people, ethnic group"|114|
"Takanini South"|"Domestic purposes benefit"|"Total people, ethnic group"|168|
"Takanini South"|"Invalids benefit"|"Total people, ethnic group"|60|
"Takanini South"|"Student allowance"|"Total people, ethnic group"|87|
"Takanini South"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|141|
"Takanini South"|"Other sources of income"|"Total people, ethnic group"|48|
"Takanini South"|"No source of income during that time"|"Total people, ethnic group"|285|
"Takanini South"|"Total people stated"|"Total people, ethnic group"|3132|
"Takanini South"|"Not stated"|"Total people, ethnic group"|333|
"Takanini West"|"Total people, sources of personal income"|"Total people, ethnic group"|3669|
"Takanini West"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2031|
"Takanini West"|"Self-employment or business"|"Total people, ethnic group"|420|
"Takanini West"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|687|
"Takanini West"|"Payments from a work accident insurer"|"Total people, ethnic group"|36|
"Takanini West"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|480|
"Takanini West"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|60|
"Takanini West"|"Unemployment benefit"|"Total people, ethnic group"|93|
"Takanini West"|"Sickness benefit"|"Total people, ethnic group"|81|
"Takanini West"|"Domestic purposes benefit"|"Total people, ethnic group"|108|
"Takanini West"|"Invalids benefit"|"Total people, ethnic group"|63|
"Takanini West"|"Student allowance"|"Total people, ethnic group"|60|
"Takanini West"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|135|
"Takanini West"|"Other sources of income"|"Total people, ethnic group"|45|
"Takanini West"|"No source of income during that time"|"Total people, ethnic group"|261|
"Takanini West"|"Total people stated"|"Total people, ethnic group"|3360|
"Takanini West"|"Not stated"|"Total people, ethnic group"|306|
"Ambury"|"Total people, sources of personal income"|"Total people, ethnic group"|2583|
"Ambury"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1473|
"Ambury"|"Self-employment or business"|"Total people, ethnic group"|303|
"Ambury"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|546|
"Ambury"|"Payments from a work accident insurer"|"Total people, ethnic group"|30|
"Ambury"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|441|
"Ambury"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|63|
"Ambury"|"Unemployment benefit"|"Total people, ethnic group"|51|
"Ambury"|"Sickness benefit"|"Total people, ethnic group"|51|
"Ambury"|"Domestic purposes benefit"|"Total people, ethnic group"|69|
"Ambury"|"Invalids benefit"|"Total people, ethnic group"|39|
"Ambury"|"Student allowance"|"Total people, ethnic group"|63|
"Ambury"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|99|
"Ambury"|"Other sources of income"|"Total people, ethnic group"|39|
"Ambury"|"No source of income during that time"|"Total people, ethnic group"|165|
"Ambury"|"Total people stated"|"Total people, ethnic group"|2439|
"Ambury"|"Not stated"|"Total people, ethnic group"|144|
"Mangere Bridge"|"Total people, sources of personal income"|"Total people, ethnic group"|4539|
"Mangere Bridge"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|2295|
"Mangere Bridge"|"Self-employment or business"|"Total people, ethnic group"|393|
"Mangere Bridge"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|585|
"Mangere Bridge"|"Payments from a work accident insurer"|"Total people, ethnic group"|36|
"Mangere Bridge"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|624|
"Mangere Bridge"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|87|
"Mangere Bridge"|"Unemployment benefit"|"Total people, ethnic group"|135|
"Mangere Bridge"|"Sickness benefit"|"Total people, ethnic group"|150|
"Mangere Bridge"|"Domestic purposes benefit"|"Total people, ethnic group"|150|
"Mangere Bridge"|"Invalids benefit"|"Total people, ethnic group"|117|
"Mangere Bridge"|"Student allowance"|"Total people, ethnic group"|129|
"Mangere Bridge"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|210|
"Mangere Bridge"|"Other sources of income"|"Total people, ethnic group"|63|
"Mangere Bridge"|"No source of income during that time"|"Total people, ethnic group"|384|
"Mangere Bridge"|"Total people stated"|"Total people, ethnic group"|4107|
"Mangere Bridge"|"Not stated"|"Total people, ethnic group"|432|
"Mangere Central"|"Total people, sources of personal income"|"Total people, ethnic group"|2034|
"Mangere Central"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|846|
"Mangere Central"|"Self-employment or business"|"Total people, ethnic group"|45|
"Mangere Central"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|36|
"Mangere Central"|"Payments from a work accident insurer"|"Total people, ethnic group"|9|
"Mangere Central"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|171|
"Mangere Central"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|24|
"Mangere Central"|"Unemployment benefit"|"Total people, ethnic group"|102|
"Mangere Central"|"Sickness benefit"|"Total people, ethnic group"|84|
"Mangere Central"|"Domestic purposes benefit"|"Total people, ethnic group"|120|
"Mangere Central"|"Invalids benefit"|"Total people, ethnic group"|51|
"Mangere Central"|"Student allowance"|"Total people, ethnic group"|78|
"Mangere Central"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|87|
"Mangere Central"|"Other sources of income"|"Total people, ethnic group"|18|
"Mangere Central"|"No source of income during that time"|"Total people, ethnic group"|225|
"Mangere Central"|"Total people stated"|"Total people, ethnic group"|1671|
"Mangere Central"|"Not stated"|"Total people, ethnic group"|363|
"Mascot"|"Total people, sources of personal income"|"Total people, ethnic group"|2709|
"Mascot"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|1053|
"Mascot"|"Self-employment or business"|"Total people, ethnic group"|51|
"Mascot"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|48|
"Mascot"|"Payments from a work accident insurer"|"Total people, ethnic group"|15|
"Mascot"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|213|
"Mascot"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|57|
"Mascot"|"Unemployment benefit"|"Total people, ethnic group"|105|
"Mascot"|"Sickness benefit"|"Total people, ethnic group"|126|
"Mascot"|"Domestic purposes benefit"|"Total people, ethnic group"|141|
"Mascot"|"Invalids benefit"|"Total people, ethnic group"|87|
"Mascot"|"Student allowance"|"Total people, ethnic group"|90|
"Mascot"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|129|
"Mascot"|"Other sources of income"|"Total people, ethnic group"|21|
"Mascot"|"No source of income during that time"|"Total people, ethnic group"|354|
"Mascot"|"Total people stated"|"Total people, ethnic group"|2223|
"Mascot"|"Not stated"|"Total people, ethnic group"|486|
"Arahanga"|"Total people, sources of personal income"|"Total people, ethnic group"|1347|
"Arahanga"|"Wages, salary, commissions, bonuses, etc"|"Total people, ethnic group"|510|
"Arahanga"|"Self-employment or business"|"Total people, ethnic group"|30|
"Arahanga"|"Interest, dividends, rent, other investments"|"Total people, ethnic group"|30|
"Arahanga"|"Payments from a work accident insurer"|"Total people, ethnic group"|3|
"Arahanga"|"NZ superannuation or veterans pension"|"Total people, ethnic group"|108|
"Arahanga"|"Other superannuation, pensions, annuities"|"Total people, ethnic group"|15|
"Arahanga"|"Unemployment benefit"|"Total people, ethnic group"|66|
"Arahanga"|"Sickness benefit"|"Total people, ethnic group"|57|
"Arahanga"|"Domestic purposes benefit"|"Total people, ethnic group"|90|
"Arahanga"|"Invalids benefit"|"Total people, ethnic group"|51|
"Arahanga"|"Student allowance"|"Total people, ethnic group"|48|
"Arahanga"|"Other government benefits, payments or pensions"|"Total people, ethnic group"|66|
"Arahanga"|"Other sources of income"|"Total people, ethnic group"|18|
"Arahanga"|"No source of income during that time"|"Total people, ethnic group"|159|
