Area|Age group|Occupied dwelling type|Value|Flags
"Marlborough Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Marlborough Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|255|
"Marlborough Region"|"65-69 Years"|"Dwelling in a motor camp"|6|
"Marlborough Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|27|
"Marlborough Region"|"65-69 Years"|"Improvised dwelling or shelter"|3|
"Marlborough Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Marlborough Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|36|
"Marlborough Region"|"65-69 Years"|"Occupied private dwelling not further defined"|126|
"Marlborough Region"|"65-69 Years"|"Residential care for older people"|18|
"Marlborough Region"|"65-69 Years"|"Public hospital"||c
"Marlborough Region"|"65-69 Years"|"Private hospital"||c
"Marlborough Region"|"65-69 Years"|"Residential and community care facilities"||c
"Marlborough Region"|"65-69 Years"|"Welfare institution"||c
"Marlborough Region"|"65-69 Years"|"Educational institution"||c
"Marlborough Region"|"65-69 Years"|"Religious institution"||c
"Marlborough Region"|"65-69 Years"|"Prison or penal institution"||c
"Marlborough Region"|"65-69 Years"|"Defence establishment"||c
"Marlborough Region"|"65-69 Years"|"Night shelter"||c
"Marlborough Region"|"65-69 Years"|"Total usual residents in institutions"|21|
"Marlborough Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|12|
"Marlborough Region"|"65-69 Years"|"Boarding house"||c
"Marlborough Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Marlborough Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Marlborough Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Marlborough Region"|"65-69 Years"|"Communal staff quarters"||c
"Marlborough Region"|"65-69 Years"|"Commercial vessel"||c
"Marlborough Region"|"65-69 Years"|"Marae complex"||c
"Marlborough Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|18|
"Marlborough Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"West Coast Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|1722|
"West Coast Region"|"65-69 Years"|"Separate house no storey information"|9|
"West Coast Region"|"65-69 Years"|"Separate house with one storey"|1227|
"West Coast Region"|"65-69 Years"|"Separate house with two or more storeys"|183|
"West Coast Region"|"65-69 Years"|"Total usual residents in separate houses"|1419|
"West Coast Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"West Coast Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|105|
"West Coast Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|6|
"West Coast Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"West Coast Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|117|
"West Coast Region"|"65-69 Years"|"Dwelling in a motor camp"|3|
"West Coast Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|15|
"West Coast Region"|"65-69 Years"|"Improvised dwelling or shelter"|0|
"West Coast Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"West Coast Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|21|
"West Coast Region"|"65-69 Years"|"Occupied private dwelling not further defined"|129|
"West Coast Region"|"65-69 Years"|"Residential care for older people"|9|
"West Coast Region"|"65-69 Years"|"Public hospital"||c
"West Coast Region"|"65-69 Years"|"Private hospital"||c
"West Coast Region"|"65-69 Years"|"Residential and community care facilities"||c
"West Coast Region"|"65-69 Years"|"Welfare institution"||c
"West Coast Region"|"65-69 Years"|"Educational institution"||c
"West Coast Region"|"65-69 Years"|"Religious institution"||c
"West Coast Region"|"65-69 Years"|"Prison or penal institution"||c
"West Coast Region"|"65-69 Years"|"Defence establishment"||c
"West Coast Region"|"65-69 Years"|"Night shelter"||c
"West Coast Region"|"65-69 Years"|"Total usual residents in institutions"|21|
"West Coast Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|12|
"West Coast Region"|"65-69 Years"|"Boarding house"||c
"West Coast Region"|"65-69 Years"|"Moto camp/camping ground"||c
"West Coast Region"|"65-69 Years"|"Work, construction, or training camp"||c
"West Coast Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"West Coast Region"|"65-69 Years"|"Communal staff quarters"||c
"West Coast Region"|"65-69 Years"|"Commercial vessel"||c
"West Coast Region"|"65-69 Years"|"Marae complex"||c
"West Coast Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|15|
"West Coast Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Canterbury Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|25290|
"Canterbury Region"|"65-69 Years"|"Separate house no storey information"|57|
"Canterbury Region"|"65-69 Years"|"Separate house with one storey"|16263|
"Canterbury Region"|"65-69 Years"|"Separate house with two or more storeys"|4308|
"Canterbury Region"|"65-69 Years"|"Total usual residents in separate houses"|20628|
"Canterbury Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|12|
"Canterbury Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|2337|
"Canterbury Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|711|
"Canterbury Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|18|
"Canterbury Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|3075|
"Canterbury Region"|"65-69 Years"|"Dwelling in a motor camp"|108|
"Canterbury Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|96|
"Canterbury Region"|"65-69 Years"|"Improvised dwelling or shelter"|24|
"Canterbury Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Canterbury Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|225|
"Canterbury Region"|"65-69 Years"|"Occupied private dwelling not further defined"|969|
"Canterbury Region"|"65-69 Years"|"Residential care for older people"|183|
"Canterbury Region"|"65-69 Years"|"Public hospital"|12|
"Canterbury Region"|"65-69 Years"|"Private hospital"|3|
"Canterbury Region"|"65-69 Years"|"Residential and community care facilities"|63|
"Canterbury Region"|"65-69 Years"|"Welfare institution"|9|
"Canterbury Region"|"65-69 Years"|"Educational institution"|6|
"Canterbury Region"|"65-69 Years"|"Religious institution"|3|
"Canterbury Region"|"65-69 Years"|"Prison or penal institution"|12|
"Canterbury Region"|"65-69 Years"|"Defence establishment"|0|
"Canterbury Region"|"65-69 Years"|"Night shelter"|0|
"Canterbury Region"|"65-69 Years"|"Total usual residents in institutions"|291|
"Canterbury Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|60|
"Canterbury Region"|"65-69 Years"|"Boarding house"|18|
"Canterbury Region"|"65-69 Years"|"Moto camp/camping ground"|24|
"Canterbury Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Canterbury Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Canterbury Region"|"65-69 Years"|"Communal staff quarters"|0|
"Canterbury Region"|"65-69 Years"|"Commercial vessel"|0|
"Canterbury Region"|"65-69 Years"|"Marae complex"|0|
"Canterbury Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|105|
"Canterbury Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Otago Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|9681|
"Otago Region"|"65-69 Years"|"Separate house no storey information"|24|
"Otago Region"|"65-69 Years"|"Separate house with one storey"|6117|
"Otago Region"|"65-69 Years"|"Separate house with two or more storeys"|2100|
"Otago Region"|"65-69 Years"|"Total usual residents in separate houses"|8241|
"Otago Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|6|
"Otago Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|609|
"Otago Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|222|
"Otago Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|9|
"Otago Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|849|
"Otago Region"|"65-69 Years"|"Dwelling in a motor camp"|21|
"Otago Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|30|
"Otago Region"|"65-69 Years"|"Improvised dwelling or shelter"|12|
"Otago Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Otago Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|63|
"Otago Region"|"65-69 Years"|"Occupied private dwelling not further defined"|384|
"Otago Region"|"65-69 Years"|"Residential care for older people"|54|
"Otago Region"|"65-69 Years"|"Public hospital"|0|
"Otago Region"|"65-69 Years"|"Private hospital"|0|
"Otago Region"|"65-69 Years"|"Residential and community care facilities"|15|
"Otago Region"|"65-69 Years"|"Welfare institution"|0|
"Otago Region"|"65-69 Years"|"Educational institution"|3|
"Otago Region"|"65-69 Years"|"Religious institution"|0|
"Otago Region"|"65-69 Years"|"Prison or penal institution"|0|
"Otago Region"|"65-69 Years"|"Defence establishment"|0|
"Otago Region"|"65-69 Years"|"Night shelter"|0|
"Otago Region"|"65-69 Years"|"Total usual residents in institutions"|78|
"Otago Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|45|
"Otago Region"|"65-69 Years"|"Boarding house"|9|
"Otago Region"|"65-69 Years"|"Moto camp/camping ground"|9|
"Otago Region"|"65-69 Years"|"Work, construction, or training camp"|0|
"Otago Region"|"65-69 Years"|"Youth, school, or scout/guide camp"|0|
"Otago Region"|"65-69 Years"|"Communal staff quarters"|0|
"Otago Region"|"65-69 Years"|"Commercial vessel"|0|
"Otago Region"|"65-69 Years"|"Marae complex"|0|
"Otago Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|69|
"Otago Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"|0|
"Southland Region"|"65-69 Years"|"Total usual residents in occupied dwellings"|4347|
"Southland Region"|"65-69 Years"|"Separate house no storey information"|9|
"Southland Region"|"65-69 Years"|"Separate house with one storey"|3429|
"Southland Region"|"65-69 Years"|"Separate house with two or more storeys"|423|
"Southland Region"|"65-69 Years"|"Total usual residents in separate houses"|3864|
"Southland Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|3|
"Southland Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|234|
"Southland Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|15|
"Southland Region"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|0|
"Southland Region"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|255|
"Southland Region"|"65-69 Years"|"Dwelling in a motor camp"|6|
"Southland Region"|"65-69 Years"|"Mobile dwelling not in a motor camp"|15|
"Southland Region"|"65-69 Years"|"Improvised dwelling or shelter"|3|
"Southland Region"|"65-69 Years"|"Roofless or rough sleeper"|0|
"Southland Region"|"65-69 Years"|"Total usual residents in other occupied private dwellings"|24|
"Southland Region"|"65-69 Years"|"Occupied private dwelling not further defined"|144|
"Southland Region"|"65-69 Years"|"Residential care for older people"|42|
"Southland Region"|"65-69 Years"|"Public hospital"||c
"Southland Region"|"65-69 Years"|"Private hospital"||c
"Southland Region"|"65-69 Years"|"Residential and community care facilities"||c
"Southland Region"|"65-69 Years"|"Welfare institution"||c
"Southland Region"|"65-69 Years"|"Educational institution"||c
"Southland Region"|"65-69 Years"|"Religious institution"||c
"Southland Region"|"65-69 Years"|"Prison or penal institution"||c
"Southland Region"|"65-69 Years"|"Defence establishment"||c
"Southland Region"|"65-69 Years"|"Night shelter"||c
"Southland Region"|"65-69 Years"|"Total usual residents in institutions"|48|
"Southland Region"|"65-69 Years"|"Hotel, motel, or guest accommodation"|12|
"Southland Region"|"65-69 Years"|"Boarding house"||c
"Southland Region"|"65-69 Years"|"Moto camp/camping ground"||c
"Southland Region"|"65-69 Years"|"Work, construction, or training camp"||c
"Southland Region"|"65-69 Years"|"Youth, school, or scout/guide camp"||c
"Southland Region"|"65-69 Years"|"Communal staff quarters"||c
"Southland Region"|"65-69 Years"|"Commercial vessel"||c
"Southland Region"|"65-69 Years"|"Marae complex"||c
"Southland Region"|"65-69 Years"|"Total usual residents in other occupied non-private dwellings"|15|
"Southland Region"|"65-69 Years"|"Occupied non-private dwelling not further defined"||c
"Total, Regional Council Areas"|"65-69 Years"|"Total usual residents in occupied dwellings"|191097|
"Total, Regional Council Areas"|"65-69 Years"|"Separate house no storey information"|531|
"Total, Regional Council Areas"|"65-69 Years"|"Separate house with one storey"|110412|
"Total, Regional Council Areas"|"65-69 Years"|"Separate house with two or more storeys"|43167|
"Total, Regional Council Areas"|"65-69 Years"|"Total usual residents in separate houses"|154110|
"Total, Regional Council Areas"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together no storey information"|177|
"Total, Regional Council Areas"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a one storey building"|14859|
"Total, Regional Council Areas"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a two or three storey building"|7263|
"Total, Regional Council Areas"|"65-69 Years"|"Two or more flats/units/townhouses/apartments/houses joined together in a four or more storey building"|1377|
"Total, Regional Council Areas"|"65-69 Years"|"Total usual residents in two or more flats/units/townhouses/apartments/houses joined together"|23676|
"Total, Regional Council Areas"|"65-69 Years"|"Dwelling in a motor camp"|414|
